// Mob Availability and Alias Database
//
// Structure of Database:
// MobID,SpriteID{,Equipment}
//
// 01. MobID        Mob ID to change.
// 02. SpriteID     Mob ID which will be sent to the client instead of MobID.
//                  If 0, the mob becomes unavailable for use.
// 03. Equipment    Item ID of pet equipment (must be available for pet counterpart, or this will cause problems).
//
// To disguise a mob as a player:
// MobID,SpriteID,Sex,Hair_Style,Hair_Color,Weapon,Shield,Head_Top,Head_Middle,Head_Bottom,Option,Dye_Color
//
// SpriteID is a job class value.
// Weapon and Shield uses Item ID, while Head uses View ID.

// BG MvP Monster
2100,1623
2101,1768
2102,1751
2103,1252
2104,1916
2105,1907
2106,1908
2107,1288

// Chinese New Year Event
2108,1188	//Bongun - Bongun
2109,1026	//Munak - Munak

// Custom MvP Monsters
2110,1039
2111,1046
2112,1059
2113,1086
2114,1087
2115,1115
2116,1150
2117,1157
2118,1159
2119,1190
2120,1251
2121,1252
2122,1272
2123,1312
2124,1373
2125,1389
2126,1418
2127,1492
2128,1511
2129,1583
2130,1623
2131,1689
2132,1646
2133,1647
2134,1648
2135,1649
2136,1651
2137,1658
2138,1685
2139,1688
2140,1708
2141,1719
2142,1734
2143,1751
2144,1768
2145,1779
2146,1785
2147,1832
2148,1871
2149,1872
2150,1873
2151,1885
2152,1917
2153,1956
2154,1957
2155,1990
2156,2022

2200,1322	//Easter Bunny - Spring Rabbit
2201,1249 // Luffy

2202,1057	//Monkey - Yoyo
2203,1130	//Hallow Jakk - Jakk
2204,1509	//Wandering Lude - Lude
2400,1905	//Barricade - Barricade
2401,1905	//Barricade - Barricade
